,value,supplier_name,publish_date,agency_name
376,10181.28,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
639,10181.28,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
665,10190.66,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
666,10196.83,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
667,10221.2,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
670,10567.85,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
671,11082.99,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
674,14312.15,QANTAS,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
692,11301.4,The Sukhothai Bangkok,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
799,11530.0,Stamford Plaza Brisbane,2008-07-09,Department of Infrastructure Transport Regional Development and Local Government
1851,39159.49,LeasePlan Australia Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1854,27298.89,LeasePlan Australia Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1856,27389.69,LeasePlan Australia Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1858,27398.13,LeasePlan Australia Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1860,23915.1,LeasePlan Australia Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1862,37322.61,LeasePlan Australia Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1864,69696.0,Digital Digest Data Design Pty Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1866,38000.0,DATA#3 LTD,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1868,20000.0,SME GATEWAY LTD,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1872,62535.0,OAKTON AA SERVICES PTY LTD,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1875,30000.0,SMS Consulting Group Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1877,26639.71,LeasePlan Australia Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1879,98000.1,Morris Walker,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
1881,16027.0,Inprotrans Pty Ltd,2008-07-14,Department of Infrastructure Transport Regional Development and Local Government
5182,17800.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5184,20000.0,CYBERTRUST AUSTRALIA PTY LTD,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5187,996976.2,Centrelink,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5189,13650.45,FUJI XEROX AUSTRALIA PTY LTD,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5190,13200.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5192,18500.9,Inkspott Promotions,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5194,11208.45,AUST GOVT SOLICITOR-CENTRAL OFF,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5196,19463.95,AUST GOVT SOLICITOR-CENTRAL OFF,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
