Person ID,First name,Last name,Party,Division,URI
10007,Anthony,Albanese,Australian Labor Party,Grayndler,http://openaustralia.org.au/mp/anthony_albanese/grayndler
10725,John,Alexander,Liberal Party,Bennelong,http://openaustralia.org.au/mp/john_alexander/bennelong
10928,Katie,Allen,Liberal Party,Higgins,http://openaustralia.org.au/mp/katie_allen/higgins
10863,Anne,Aly,Australian Labor Party,Cowan,http://openaustralia.org.au/mp/anne_aly/cowan
10745,Karen,Andrews,Liberal Party,McPherson,http://openaustralia.org.au/mp/karen_andrews/mcpherson
10014,Kevin,Andrews,Liberal Party,Menzies,http://openaustralia.org.au/mp/kevin_andrews/menzies
10917,Bridget,Archer,Liberal Party,Bass,http://openaustralia.org.au/mp/bridget_archer/bass
10734,Adam,Bandt,Australian Greens,Melbourne,http://openaustralia.org.au/mp/adam_bandt/melbourne
10936,Angie,Bell,Liberal National Party,Moncrieff,http://openaustralia.org.au/mp/angie_bell/moncrieff
10043,Sharon,Bird,Australian Labor Party,Cunningham,http://openaustralia.org.au/mp/sharon_bird/cunningham
10060,Chris,Bowen,Australian Labor Party,McMahon,http://openaustralia.org.au/mp/chris_bowen/mcmahon
10069,Russell,Broadbent,Liberal Party,Monash,http://openaustralia.org.au/mp/russell_broadbent/monash
10752,Scott,Buchholz,Liberal Party,Wright,http://openaustralia.org.au/mp/scott_buchholz/wright
10081,Tony,Burke,Australian Labor Party,Watson,http://openaustralia.org.au/mp/tony_burke/watson
10858,Linda,Burney,Australian Labor Party,Barton,http://openaustralia.org.au/mp/linda_burney/barton
10934,Josh,Burns,Australian Labor Party,Macnamara,http://openaustralia.org.au/mp/josh_burns/macnamara
10086,Mark,Butler,Australian Labor Party,Hindmarsh,http://openaustralia.org.au/mp/mark_butler/hindmarsh
10825,Terri,Butler,Australian Labor Party,Griffith,http://openaustralia.org.au/mp/terri_butler/griffith
10088,Anthony,Byrne,Australian Labor Party,Holt,http://openaustralia.org.au/mp/anthony_byrne/holt
10809,Jim,Chalmers,Australian Labor Party,Rankin,http://openaustralia.org.au/mp/jim_chalmers/rankin
10111,Nick,Champion,Australian Labor Party,Spence,http://openaustralia.org.au/mp/nick_champion/spence
10703,Darren,Chester,National Party,Gippsland,http://openaustralia.org.au/mp/darren_chester/gippsland
10787,Lisa,Chesters,Australian Labor Party,Bendigo,http://openaustralia.org.au/mp/lisa_chesters/bendigo
10726,George,Christensen,National Party,Dawson,http://openaustralia.org.au/mp/george_christensen/dawson
10123,Jason,Clare,Australian Labor Party,Blaxland,http://openaustralia.org.au/mp/jason_clare/blaxland
10805,Sharon,Claydon,Australian Labor Party,Newcastle,http://openaustralia.org.au/mp/sharon_claydon/newcastle
10921,Libby,Coker,Australian Labor Party,Corangamite,http://openaustralia.org.au/mp/libby_coker/corangamite
10783,David,Coleman,Liberal Party,Banks,http://openaustralia.org.au/mp/david_coleman/banks
10136,Julie,Collins,Australian Labor Party,Franklin,http://openaustralia.org.au/mp/julie_collins/franklin
10922,Pat,Conaghan,National Party,Cowper,http://openaustralia.org.au/mp/pat_conaghan/cowper
10939,Vince,Connelly,Liberal Party,Stirling,http://openaustralia.org.au/mp/vince_connelly/stirling
10813,Pat,Conroy,Australian Labor Party,Shortland,http://openaustralia.org.au/mp/pat_conroy/shortland
10152,Mark,Coulton,-,Parkes,http://openaustralia.org.au/mp/mark_coulton/parkes
10880,Milton,Dick,Australian Labor Party,Oxley,http://openaustralia.org.au/mp/milton_dick/oxley
10181,Mark,Dreyfus,Australian Labor Party,Isaacs,http://openaustralia.org.au/mp/mark_dreyfus/isaacs
10875,Damian,Drum,National Party,Nicholls,http://openaustralia.org.au/mp/damian_drum/nicholls
10188,Peter,Dutton,Liberal Party,Dickson,http://openaustralia.org.au/mp/peter_dutton/dickson
10195,Justine,Elliot,Australian Labor Party,Richmond,http://openaustralia.org.au/mp/justine_elliot/richmond
10203,Warren,Entsch,Liberal Party,Leichhardt,http://openaustralia.org.au/mp/warren_entsch/leichhardt
10881,Trevor,Evans,Liberal Party,Brisbane,http://openaustralia.org.au/mp/trevor_evans/brisbane
10878,Jason,Falinski,Liberal Party,Mackellar,http://openaustralia.org.au/mp/jason_falinski/mackellar
10230,Joel,Fitzgibbon,Australian Labor Party,Hunter,http://openaustralia.org.au/mp/joel_fitzgibbon/hunter
10723,Paul,Fletcher,Liberal Party,Bradfield,http://openaustralia.org.au/mp/paul_fletcher/bradfield
10882,Nicolle,Flint,Liberal Party,Boothby,http://openaustralia.org.au/mp/nicolle_flint/boothby
10872,Mike,Freelander,Australian Labor Party,Macarthur,http://openaustralia.org.au/mp/mike_freelander/macarthur
10741,Josh,Frydenberg,Liberal Party,Kooyong,http://openaustralia.org.au/mp/josh_frydenberg/kooyong
10883,Andrew,Gee,National Party,Calare,http://openaustralia.org.au/mp/andrew_gee/calare
10245,Steve,Georganas,Australian Labor Party,Adelaide,http://openaustralia.org.au/mp/steve_georganas/adelaide
10812,Andrew,Giles,Australian Labor Party,Scullin,http://openaustralia.org.au/mp/andrew_giles/scullin
10801,David,Gillespie,National Party,Lyne,http://openaustralia.org.au/mp/david_gillespie/lyne
10804,Ian,Goodenough,Liberal Party,Moore,http://openaustralia.org.au/mp/ian_goodenough/moore
10911,Patrick,Gorman,Australian Labor Party,Perth,http://openaustralia.org.au/mp/patrick_gorman/perth
10877,Luke,Gosling,Australian Labor Party,Solomon,http://openaustralia.org.au/mp/luke_gosling/solomon
10929,Helen,Haines,Independent,Indi,http://openaustralia.org.au/mp/helen_haines/indi
10923,Celia,Hammond,Liberal Party,Curtin,http://openaustralia.org.au/mp/celia_hammond/curtin
10843,Andrew,Hastie,Liberal Party,Canning,http://openaustralia.org.au/mp/andrew_hastie/canning
10290,Alex,Hawke,Liberal Party,Mitchell,http://openaustralia.org.au/mp/alex_hawke/mitchell
10294,Chris,Hayes,Australian Labor Party,Fowler,http://openaustralia.org.au/mp/chris_hayes/fowler
10885,Julian,Hill,Australian Labor Party,Bruce,http://openaustralia.org.au/mp/julian_hill/bruce
10806,Kevin,Hogan,National Party,Page,http://openaustralia.org.au/mp/kevin_hogan/page
10808,Luke,Howarth,Liberal Party,Petrie,http://openaustralia.org.au/mp/luke_howarth/petrie
10319,Greg,Hunt,Liberal Party,Flinders,http://openaustralia.org.au/mp/greg_hunt/flinders
10749,Ed,Husic,Australian Labor Party,Chifley,http://openaustralia.org.au/mp/ed_husic/chifley
10326,Steve,Irons,Liberal Party,Swan,http://openaustralia.org.au/mp/steve_irons/swan
10740,Stephen,Jones,Australian Labor Party,Whitlam,http://openaustralia.org.au/mp/stephen_jones/whitlam
