Person ID,Name,Party,URI
10003,Eric Abetz,Liberal Party,http://openaustralia.org.au/senator/eric_abetz/tasmania
10954,Alex Antic,Liberal Party,http://openaustralia.org.au/senator/alex_antic/sa
10914,Wendy Askew,Liberal Party,http://openaustralia.org.au/senator/wendy_askew/tasmania
10946,Tim Ayres,Australian Labor Party,http://openaustralia.org.au/senator/tim_ayres/nsw
10705,Catryna Bilyk,Australian Labor Party,http://openaustralia.org.au/senator/catryna_bilyk/tasmania
10044,Simon Birmingham,Liberal Party,http://openaustralia.org.au/senator/simon_birmingham/sa
10945,Andrew Bragg,Liberal Party,http://openaustralia.org.au/senator/andrew_bragg/nsw
10900,Slade Brockman,Liberal Party,http://openaustralia.org.au/senator/slade_brockman/wa
10071,Carol Brown,Australian Labor Party,http://openaustralia.org.au/senator/carol_brown/tasmania
10827,Matthew Canavan,Liberal National Party,http://openaustralia.org.au/senator/matthew_canavan/queensland
10103,Kim Carr,Australian Labor Party,http://openaustralia.org.au/senator/kim_carr/victoria
10707,Michaelia Cash,Liberal Party,http://openaustralia.org.au/senator/michaelia_cash/wa
10955,Claire Chandler,Liberal Party,http://openaustralia.org.au/senator/claire_chandler/tasmania
10849,Anthony Chisholm,Australian Labor Party,http://openaustralia.org.au/senator/anthony_chisholm/queensland
10915,Raff Ciccone,Australian Labor Party,http://openaustralia.org.au/senator/raff_ciccone/victoria
10131,Richard Colbeck,Liberal Party,http://openaustralia.org.au/senator/richard_colbeck/tasmania
10148,Mathias Cormann,Liberal Party,http://openaustralia.org.au/senator/mathias_cormann/wa
10947,Perin Davey,National Party,http://openaustralia.org.au/senator/perin_davey/nsw
10755,Richard Di Natale,Australian Greens,http://openaustralia.org.au/senator/richard_di_natale/victoria
10846,Patrick Dodson,Australian Labor Party,http://openaustralia.org.au/senator/patrick_dodson/wa
10847,Jonathon Duniam,Liberal Party,http://openaustralia.org.au/senator/jonathon_duniam/tasmania
10708,Don Farrell,Australian Labor Party,http://openaustralia.org.au/senator/don_farrell/sa
10912,Mehreen Faruqi,Australian Greens,http://openaustralia.org.au/senator/mehreen_faruqi/nsw
10215,David Fawcett,Liberal Party,http://openaustralia.org.au/senator/david_fawcett/sa
10222,Concetta Fierravanti-Wells,Liberal Party,http://openaustralia.org.au/senator/concetta_fierravanti-wells/nsw
10757,Alex Gallacher,Australian Labor Party,http://openaustralia.org.au/senator/alex_gallacher/sa
10838,Katy Gallagher,Australian Labor Party,http://openaustralia.org.au/senator/katy_gallagher/act
10950,Nita Green,Australian Labor Party,http://openaustralia.org.au/senator/nita_green/queensland
10851,Stirling Griff,Centre Alliance,http://openaustralia.org.au/senator/stirling_griff/sa
10280,Pauline Hanson,Pauline Hanson's One Nation Party,http://openaustralia.org.au/senator/pauline_hanson/queensland
10711,Sarah Hanson-Young,Australian Greens,http://openaustralia.org.au/senator/sarah_hanson-young/sa
10790,Sarah Henderson,Liberal Party,http://openaustralia.org.au/senator/sarah_henderson/victoria
10943,Hollie Hughes,Liberal Party,http://openaustralia.org.au/senator/hollie_hughes/nsw
10853,Jane Hume,Liberal Party,http://openaustralia.org.au/senator/jane_hume/victoria
10906,Kristina Keneally,Australian Labor Party,http://openaustralia.org.au/senator/kristina_keneally/nsw
10897,Kimberley Kitching,Australian Labor Party,http://openaustralia.org.au/senator/kimberley_kitching/victoria
10830,Jacqui Lambie,Jacqui Lambie Network,http://openaustralia.org.au/senator/jacqui_lambie/tasmania
10782,Sue Lines,-,http://openaustralia.org.au/senator/sue_lines/wa
10839,Jenny McAllister,Australian Labor Party,http://openaustralia.org.au/senator/jenny_mcallister/nsw
10855,Malarndirri McCarthy,Australian Labor Party,http://openaustralia.org.au/senator/malarndirri_mccarthy/nt
10951,Susan McDonald,National Party,http://openaustralia.org.au/senator/susan_mcdonald/queensland
10833,James McGrath,Liberal National Party,http://openaustralia.org.au/senator/james_mcgrath/queensland
10758,Bridget McKenzie,National Party,http://openaustralia.org.au/senator/bridget_mckenzie/victoria
10841,Nick McKim,Australian Greens,http://openaustralia.org.au/senator/nick_mckim/tasmania
10959,Andrew McLachlan,Liberal Party,http://openaustralia.org.au/senator/andrew_mclachlan/sa
10948,Sam McMahon,Country Liberal Party,http://openaustralia.org.au/senator/sam_mcmahon/nt
10904,Jim Molan,Liberal Party,http://openaustralia.org.au/senator/jim_molan/nsw
10747,Deborah O'Neill,Australian Labor Party,http://openaustralia.org.au/senator/deborah_o%27neill/nsw
10958,Matt O'Sullivan,Liberal Party,http://openaustralia.org.au/senator/matt_o%27sullivan/wa
10845,James Paterson,Liberal Party,http://openaustralia.org.au/senator/james_paterson/victoria
10903,Rex Patrick,Centre Alliance,http://openaustralia.org.au/senator/rex_patrick/sa
10509,Marise Payne,Liberal Party,http://openaustralia.org.au/senator/marise_payne/nsw
10515,Helen Polley,Australian Labor Party,http://openaustralia.org.au/senator/helen_polley/tasmania
10714,Louise Pratt,Australian Labor Party,http://openaustralia.org.au/senator/louise_pratt/wa
10952,Gerard Rennick,Liberal Party,http://openaustralia.org.au/senator/gerard_rennick/queensland
10835,Linda Reynolds,Liberal Party,http://openaustralia.org.au/senator/linda_reynolds/wa
10836,Janet Rice,Australian Greens,http://openaustralia.org.au/senator/janet_rice/victoria
10856,Malcolm Roberts,Pauline Hanson's One Nation Party,http://openaustralia.org.au/senator/malcolm_roberts/queensland
10781,Anne Ruston,Liberal Party,http://openaustralia.org.au/senator/anne_ruston/sa
10715,Scott Ryan,-,http://openaustralia.org.au/senator/scott_ryan/victoria
10949,Paul Scarr,Liberal Party,http://openaustralia.org.au/senator/paul_scarr/queensland
10822,Zed Seselja,Liberal Party,http://openaustralia.org.au/senator/zed_seselja/act
10944,Tony Sheldon,Australian Labor Party,http://openaustralia.org.au/senator/tony_sheldon/nsw
10584,Rachel Siewert,Australian Greens,http://openaustralia.org.au/senator/rachel_siewert/wa
10768,Dean Smith,Liberal Party,http://openaustralia.org.au/senator/dean_smith/wa
10953,Marielle Smith,Australian Labor Party,http://openaustralia.org.au/senator/marielle_smith/sa
10901,Jordon Steele-John,Australian Greens,http://openaustralia.org.au/senator/jordon_steele-john/wa
10610,Glenn Sterle,Australian Labor Party,http://openaustralia.org.au/senator/glenn_sterle/wa
10908,Amanda Stoker,Liberal Party,http://openaustralia.org.au/senator/amanda_stoker/queensland
10763,Anne Urquhart,Australian Labor Party,http://openaustralia.org.au/senator/anne_urquhart/tasmania
10957,David Van,Liberal Party,http://openaustralia.org.au/senator/david_van/victoria
10956,Jess Walsh,Australian Labor Party,http://openaustralia.org.au/senator/jess_walsh/victoria
10764,Larissa Waters,Australian Greens,http://openaustralia.org.au/senator/larissa_waters/queensland
10857,Murray Watt,Australian Labor Party,http://openaustralia.org.au/senator/murray_watt/queensland
10780,Peter Whish-Wilson,Australian Greens,http://openaustralia.org.au/senator/peter_whish-wilson/tasmania
10678,Penny Wong,Australian Labor Party,http://openaustralia.org.au/senator/penny_wong/sa
